2484898766 function calls (2481869999 primitive calls) in 746.877 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      200    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(amax)
      101    0.000    0.000    0.004    0.000 <__array_function__ internals>:2(any)
   116204    0.075    0.000    0.365    0.000 <__array_function__ internals>:2(argmax)
   116305    0.042    0.000    0.310    0.000 <__array_function__ internals>:2(atleast_1d)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(average)
      100    0.000    0.000    0.104    0.001 <__array_function__ internals>:2(bincount)
      200    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(concatenate)
      101    0.000    0.000    0.010    0.000 <__array_function__ internals>:2(copy)
   116304    0.057    0.000    0.184    0.000 <__array_function__ internals>:2(copyto)
   116305    0.043    0.000    0.503    0.000 <__array_function__ internals>:2(cumsum)
   697215    0.233    0.000    0.859    0.000 <__array_function__ internals>:2(may_share_memory)
      100    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(prod)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ptp)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ravel)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(reshape)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(shape)
   813625    0.305    0.000    3.339    0.000 <__array_function__ internals>:2(sum)
      207    0.000    0.000    2.486    0.012 <__array_function__ internals>:2(unique)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
 12434043    3.502    0.000    5.064    0.000 <frozen importlib._bootstrap>:398(parent)
       32    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.047    0.047  750.594  750.594 <string>:1(<module>)
   464809    0.037    0.000    0.037    0.000 <string>:2(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:19(get_console)
        1    0.000    0.000    0.000    0.000 _base.py:119(__init__)
        1    0.000    0.000    0.000    0.000 _base.py:130(_validate_estimator)
      100    0.000    0.000    0.023    0.000 _base.py:157(_make_estimator)
      100    0.000    0.000    0.000    0.000 _base.py:164(<dictcomp>)
   116204    0.371    0.000    1.771    0.000 _base.py:206(_partition_estimators)
      100    0.000    0.000    0.009    0.000 _base.py:51(_set_random_states)
      101    0.000    0.000    0.000    0.000 _classes.py:100(__init__)
      100    0.020    0.000   57.844    0.578 _classes.py:155(fit)
